"","Avg mph","site","Time Period Ending"
"359",28,30361338,19:14:00
"360",29,30361338,19:29:00
"361",30,30361338,19:44:00
"362",30,30361338,19:59:00
"363",28,30361338,20:14:00
"364",28,30361338,20:29:00
"365",30,30361338,20:44:00
"366",31,30361338,20:59:00
"367",29,30361338,21:14:00
"368",30,30361338,21:29:00
"369",31,30361338,21:44:00
"370",33,30361338,21:59:00
"371",31,30361338,22:14:00
"372",34,30361338,22:29:00
"373",32,30361338,22:44:00
"374",33,30361338,22:59:00
"375",30,30361338,23:14:00
"376",38,30361338,23:29:00
"377",33,30361338,23:44:00
"378",36,30361338,23:59:00
"379",36,30361338,00:14:00
"380",33,30361338,00:29:00
"381",39,30361338,00:44:00
"382",40,30361338,00:59:00
"383",37,30361338,01:14:00
"384",39,30361338,01:29:00
"385",33,30361338,01:44:00
"386",42,30361338,01:59:00
"387",42,30361338,02:14:00
"388",39,30361338,02:29:00
"389",33,30361338,02:44:00
"390",47,30361338,02:59:00
"391",30,30361338,03:14:00
"392",43,30361338,03:29:00
"393",37,30361338,03:44:00
"394",38,30361338,03:59:00
"395",35,30361338,04:14:00
"396",32,30361338,04:29:00
"397",34,30361338,04:44:00
"398",32,30361338,04:59:00
"399",34,30361338,05:14:00
"400",30,30361338,05:29:00
"401",34,30361338,05:44:00
"402",31,30361338,05:59:00
"403",33,30361338,06:14:00
"404",24,30361338,06:29:00
"405",30,30361338,06:44:00
"406",30,30361338,06:59:00
"407",29,30361338,07:14:00
"408",27,30361338,07:29:00
"409",27,30361338,07:44:00
"410",26,30361338,07:59:00
"411",27,30361338,08:14:00
"412",28,30361338,08:29:00
"413",26,30361338,08:44:00
"414",25,30361338,08:59:00
"415",28,30361338,09:14:00
"416",27,30361338,09:29:00
"417",28,30361338,09:44:00
"418",25,30361338,09:59:00
"419",27,30361338,10:14:00
"420",26,30361338,10:29:00
"421",27,30361338,10:44:00
"422",27,30361338,10:59:00
"423",26,30361338,11:14:00
"424",26,30361338,11:29:00
"425",27,30361338,11:44:00
"426",27,30361338,11:59:00
"427",27,30361338,12:14:00
"428",27,30361338,12:29:00
"429",26,30361338,12:44:00
"430",27,30361338,12:59:00
"431",28,30361338,13:14:00
"432",26,30361338,13:29:00
"433",26,30361338,13:44:00
"434",27,30361338,13:59:00
"435",28,30361338,14:14:00
"436",27,30361338,14:29:00
"437",27,30361338,14:44:00
"438",27,30361338,14:59:00
"439",28,30361338,15:14:00
"440",24,30361338,15:29:00
"441",17,30361338,15:44:00
"442",20,30361338,15:59:00
"443",27,30361338,16:14:00
"444",26,30361338,16:29:00
"445",26,30361338,16:44:00
