"","year","lat","long","mass","class"
"1821",2003,19.39667,54.55833,35.4,"Lunar (anorth)"
"1822",2003,19.39833,54.56333,21.6,"Lunar (anorth)"
"1823",2004,19.15547,54.5555,63.5,"H4"
"1824",2004,19.126,54.85633,1592,"H4"
"1825",2004,19.15314,54.96017,247,"L6"
"1826",2004,19.19217,54.9855,868,"L5"
"1827",2004,19.29667,54.9336,79,"H4"
"1828",2004,19.30022,54.85844,737.4,"H5"
"1829",2004,19.36947,54.83828,108.3,"L4"
"1830",2004,19.38517,54.83367,8.1,"H5"
"1831",2004,19.26831,54.84694,423.5,"H4"
"1832",2004,19.23439,54.91681,79,"LL4"
"1833",2004,19.21939,54.91858,4230,"L4"
"1834",2004,19.22119,54.95961,1728,"H3"
"1835",2004,19.22878,54.93953,2467,"L4"
"1836",2004,19.75667,54.93667,1063,"Ureilite"
"1837",2004,19.17117,54.906,82.6,"H6"
"1838",2004,19.19733,54.91717,33,"H4"
"1839",2004,19.22478,54.92317,153.9,"LL6"
"1840",2004,19.23139,54.92333,69.3,"H4"
"1841",2004,19.23439,54.91681,608.5,"H6"
"1842",2004,19.25317,54.83617,165.3,"H4"
"1843",2004,19.258,54.83567,12,"LL6"
"1844",2004,19.31783,54.7295,213.9,"L6"
"1845",2004,19.22483,54.89417,114.5,"H3.8"
"1846",2003,19.1402,54.68142,243.2,"H5"
"1847",2003,19.16365,54.66127,2717,"LL5"
"1848",2001,18.26817,54.15067,20.89,"H5"
"1849",2004,33.66348,-114.29207,246.6,"L6"
"1850",2001,40.08173,-115.93673,440,"H5"
"1851",2006,42.33333,89.33333,3800,"Iron, IIIAB"
"1852",2003,25.22367,0.8456,1388,"L/LL6"
"1853",2003,25.15592,0.82213,30616,"LL6"
"1854",2003,25.08683,0.8324,4570.2,"L6"
"1855",2001,-19.65,-69.95,4333,"Iron, IIIAB"
"1856",2008,0,0,28.8,"CM2"
"1857",2008,0,0,1305.4,"Eucrite-br"
"1858",2008,0,0,173.2,"LL-imp melt"
"1859",2008,0,0,109,"CM2"
"1860",2008,0,0,294.5,"CO3"
"1861",2008,0,0,88.8,"Eucrite-br"
"1862",2008,0,0,667.3,"CO3"
"1863",2008,0,0,24.7,"H5"
"1864",2008,0,0,27.1,"Eucrite-br"
"1865",2008,0,0,5.2,"CM2"
"1866",2008,0,0,8.3,"CM2"
"1867",2008,0,0,3.4,"Eucrite-br"
"1868",2008,0,0,18.6,"Ureilite"
"1869",2008,0,0,19.6,"Eucrite-br"
"1870",2008,0,0,8.4,"CM2"
"1871",2008,0,0,6.2,"CM2"
"1872",2008,0,0,1021.1,"LL5"
"1873",2008,0,0,1447.8,"LL6"
"1874",2008,0,0,1434.5,"LL5"
"1875",2008,0,0,1020.6,"LL5"
"1876",2008,0,0,1009.1,"LL5"
"1877",2008,0,0,825.3,"LL5"
"1878",2008,0,0,834.1,"LL6"
"1879",2008,0,0,912.3,"LL6"
"1880",2008,0,0,566.1,"LL6"
"1881",2008,0,0,222.5,"LL6"
"1882",2008,0,0,240.6,"LL6"
"1883",2008,0,0,281.7,"L5"
"1884",2008,0,0,227,"LL5"
"1885",2008,0,0,255.3,"L5"
"1886",2008,0,0,325.9,"LL6"
"1887",2008,0,0,212.4,"LL5"
"1888",2008,0,0,319.7,"LL5"
"1889",2008,0,0,96.9,"L5"
"1890",2008,0,0,251.4,"LL6"
"1891",2008,0,0,153.1,"LL6"
"1892",2008,0,0,172.6,"LL5"
"1893",2008,0,0,131.3,"LL6"
"1894",2008,0,0,89.8,"LL6"
"1895",2008,0,0,106.7,"LL6"
"1896",2008,0,0,145.8,"LL5"
"1897",2008,0,0,125.5,"LL6"
"1898",2008,0,0,83.5,"LL5"
"1899",2008,0,0,124.4,"LL6"
"1900",2008,0,0,82.9,"LL6"
"1901",2008,0,0,122.4,"LL5"
"1902",2008,0,0,78.8,"LL6"
"1903",2008,0,0,64.8,"LL6"
"1904",2008,0,0,70.3,"LL5"
"1905",2008,0,0,154.2,"LL6"
"1906",2008,0,0,193.1,"LL5"
"1907",2008,0,0,88.7,"LL5"
"1908",2008,0,0,74.6,"LL5"
"1909",2008,0,0,68.2,"L6"
"1910",2008,0,0,44.3,"LL6"
"1911",2008,0,0,65.9,"LL6"
"1912",2008,0,0,44.2,"L6"
"1913",2008,0,0,54.2,"LL6"
"1914",2008,0,0,88,"LL6"
"1915",2008,0,0,49.4,"LL6"
"1916",2008,0,0,48.4,"L5"
"1917",2008,0,0,51.6,"LL6"
"1918",2008,0,0,58.7,"LL6"
"1919",2008,0,0,39.3,"L5"
"1920",2008,0,0,56.3,"LL6"
"1921",2008,0,0,115.6,"LL5"
"1922",2008,0,0,28.9,"LL6"
"1923",2008,0,0,19.1,"LL6"
"1924",2008,0,0,34,"LL6"
"1925",2008,0,0,35.1,"LL6"
"1926",2008,0,0,23,"L6"
"1927",2008,0,0,28.4,"LL6"
"1928",2008,0,0,25,"LL6"
"1929",2008,0,0,38.7,"LL6"
"1930",2008,0,0,20.9,"LL6"
"1931",2008,0,0,16.5,"LL6"
"1932",2008,0,0,19.4,"LL6"
"1933",2008,0,0,16.8,"LL6"
"1934",2008,0,0,12.5,"LL6"
"1935",2008,0,0,149.9,"LL5"
"1936",2008,0,0,193.5,"LL5"
"1937",2008,0,0,255.2,"LL5"
"1938",2008,0,0,220.1,"LL6"
"1939",2008,0,0,247.9,"L5"
"1940",2008,0,0,10.3,"LL6"
"1941",2008,0,0,28.8,"LL5"
"1942",2008,0,0,38.2,"LL5"
"1943",2008,0,0,34.1,"L5"
"1944",2008,0,0,53.1,"LL6"
"1945",2008,0,0,33.9,"LL6"
"1946",2008,0,0,31.8,"L6"
"1947",2008,0,0,47.8,"LL6"
"1948",2008,0,0,24.4,"LL5"
"1949",2008,0,0,55.8,"L5"
"1950",2008,0,0,18,"L5"
"1951",2008,0,0,28.1,"LL6"
"1952",2008,0,0,56.4,"LL6"
"1953",2008,0,0,21.3,"LL5"
"1954",2008,0,0,21.2,"L6"
"1955",2008,0,0,15.4,"LL6"
"1956",2008,0,0,22.7,"LL6"
"1957",2008,0,0,18.9,"LL6"
"1958",2008,0,0,14.7,"LL5"
"1959",2008,0,0,28.8,"LL6"
"1960",2008,0,0,13.7,"LL6"
"1961",2008,0,0,16.2,"LL6"
"1962",2008,0,0,16.9,"LL6"
"1963",2008,0,0,14.9,"LL6"
"1964",2008,0,0,23.3,"LL5"
"1965",2008,0,0,86,"L6"
"1966",2008,0,0,36.3,"L6"
"1967",2008,0,0,30.8,"LL6"
"1968",2008,0,0,58.6,"LL6"
"1969",2008,0,0,27,"LL6"
"1970",2008,0,0,65.3,"H6"
"1971",2008,0,0,95.8,"LL5"
"1972",2008,0,0,43.9,"H5"
"1973",2008,0,0,102.8,"L5"
"1974",2008,0,0,54.7,"LL5"
"1975",2008,0,0,7.2,"LL6"
"1976",2008,0,0,6.5,"LL6"
"1977",2008,0,0,11.3,"L6"
"1978",2008,0,0,20.3,"LL6"
"1979",2008,0,0,18.2,"LL6"
"1980",2008,0,0,20.9,"L6"
"1981",2008,0,0,13.5,"L5"
"1982",2008,0,0,15,"L5"
"1983",2008,0,0,18.3,"LL6"
"1984",2008,0,0,14.2,"LL6"
"1985",2008,0,0,17.2,"H5"
"1986",2008,0,0,9.5,"H5"
"1987",2008,0,0,14.5,"LL6"
"1988",2008,0,0,9.3,"L5"
"1989",2008,0,0,14.9,"L5"
"1990",2008,0,0,12.8,"L5"
"1991",2008,0,0,18.8,"H5"
"1992",2008,0,0,13.7,"LL6"
"1993",2008,0,0,8.4,"L6"
"1994",2008,0,0,21.8,"CO3"
"1995",2008,0,0,39.1,"LL6"
"1996",2008,0,0,20.4,"LL6"
"1997",2008,0,0,21.1,"L5"
"1998",2008,0,0,13.9,"L6"
"1999",2008,0,0,35.3,"L5"
"2000",2008,0,0,20.4,"L5"
"2001",2008,0,0,30,"LL5"
"2002",2008,0,0,44.1,"LL6"
"2003",2008,0,0,34,"LL6"
"2004",2008,0,0,43.4,"H6"
"2005",2008,0,0,12.2,"LL6"
"2006",2008,0,0,18.5,"LL6"
"2007",2008,0,0,17,"H5"
"2008",2008,0,0,9.3,"LL6"
"2009",2008,0,0,10.4,"L5"
"2010",2008,0,0,22.2,"LL6"
"2011",2008,0,0,14.4,"LL6"
"2012",2008,0,0,19.1,"LL6"
"2013",2008,0,0,6.9,"L6"
"2014",2008,0,0,13.8,"L5"
"2015",2008,0,0,35.6,"LL6"
"2016",2008,0,0,18.8,"LL6"
"2017",2008,0,0,31.2,"H4"
"2018",2008,0,0,19.9,"L6"
"2019",2008,0,0,60.7,"L5"
"2020",2008,0,0,50,"LL6"
"2021",2008,0,0,38.2,"L6"
"2022",2008,0,0,37.3,"H5"
"2023",2008,0,0,20.4,"L5"
"2024",2008,0,0,38.5,"L6"
"2025",2008,0,0,11,"LL6"
"2026",2008,0,0,17.4,"LL6"
"2027",2008,0,0,38,"H6"
"2028",2008,0,0,15.4,"LL6"
"2029",2008,0,0,28.4,"LL6"
"2030",2008,0,0,15.6,"LL6"
"2031",2008,0,0,8.4,"LL6"
"2032",2008,0,0,31,"LL6"
"2033",2008,0,0,22.5,"LL6"
"2034",2008,0,0,29.8,"LL6"
"2035",2008,0,0,22.7,"LL5"
"2036",2008,0,0,35.2,"LL6"
"2037",2008,0,0,42.7,"LL5"
"2038",2008,0,0,28.3,"L6"
"2039",2008,0,0,32.8,"LL6"
